,date_dt,cases,7_day_avg,ds,y
0,2020-02-27,1,,2020-02-27,1
1,2020-02-28,0,,2020-02-28,0
2,2020-02-29,0,,2020-02-29,0
3,2020-03-01,0,,2020-03-01,0
4,2020-03-02,0,,2020-03-02,0
5,2020-03-03,0,,2020-03-03,0
6,2020-03-04,0,0.14285714285714285,2020-03-04,0
7,2020-03-05,0,0.0,2020-03-05,0
8,2020-03-06,0,0.0,2020-03-06,0
9,2020-03-07,0,0.0,2020-03-07,0
10,2020-03-08,0,0.0,2020-03-08,0
11,2020-03-09,1,0.14285714285714285,2020-03-09,1
12,2020-03-10,0,0.14285714285714285,2020-03-10,0
13,2020-03-11,0,0.14285714285714285,2020-03-11,0
14,2020-03-12,0,0.14285714285714285,2020-03-12,0
15,2020-03-13,0,0.14285714285714285,2020-03-13,0
16,2020-03-14,0,0.14285714285714285,2020-03-14,0
17,2020-03-15,0,0.14285714285714285,2020-03-15,0
18,2020-03-16,6,0.8571428571428571,2020-03-16,6
19,2020-03-17,0,0.8571428571428571,2020-03-17,0
20,2020-03-18,0,0.8571428571428571,2020-03-18,0
21,2020-03-19,4,1.4285714285714286,2020-03-19,4
22,2020-03-20,0,1.4285714285714286,2020-03-20,0
23,2020-03-21,10,2.857142857142857,2020-03-21,10
24,2020-03-22,8,4.0,2020-03-22,8
25,2020-03-23,9,4.428571428571429,2020-03-23,9
26,2020-03-24,4,5.0,2020-03-24,4
27,2020-03-25,7,6.0,2020-03-25,7
28,2020-03-26,19,8.142857142857142,2020-03-26,19
29,2020-03-27,11,9.714285714285714,2020-03-27,11
30,2020-03-28,16,10.571428571428571,2020-03-28,16
31,2020-03-29,14,11.428571428571429,2020-03-29,14
32,2020-03-30,20,13.0,2020-03-30,20
33,2020-03-31,8,13.571428571428571,2020-03-31,8
34,2020-04-01,35,17.571428571428573,2020-04-01,35
35,2020-04-02,10,16.285714285714285,2020-04-02,10
36,2020-04-03,26,18.428571428571427,2020-04-03,26
37,2020-04-04,5,16.857142857142858,2020-04-04,5
38,2020-04-05,17,17.285714285714285,2020-04-05,17
39,2020-04-06,6,15.285714285714286,2020-04-06,6
40,2020-04-07,16,16.428571428571427,2020-04-07,16
41,2020-04-08,22,14.571428571428571,2020-04-08,22
42,2020-04-09,14,15.142857142857142,2020-04-09,14
43,2020-04-10,17,13.857142857142858,2020-04-10,17
44,2020-04-11,13,15.0,2020-04-11,13
45,2020-04-12,5,13.285714285714286,2020-04-12,5
46,2020-04-13,20,15.285714285714286,2020-04-13,20
47,2020-04-14,29,17.142857142857142,2020-04-14,29
48,2020-04-15,34,18.857142857142858,2020-04-15,34
49,2020-04-16,35,21.857142857142858,2020-04-16,35
50,2020-04-17,51,26.714285714285715,2020-04-17,51
51,2020-04-18,48,31.714285714285715,2020-04-18,48
52,2020-04-19,86,43.285714285714285,2020-04-19,86
53,2020-04-20,38,45.857142857142854,2020-04-20,38
54,2020-04-21,117,58.42857142857143,2020-04-21,117
55,2020-04-22,91,66.57142857142857,2020-04-22,91
56,2020-04-23,108,77.0,2020-04-23,108
57,2020-04-24,114,86.0,2020-04-24,114
58,2020-04-25,87,91.57142857142857,2020-04-25,87
59,2020-04-26,90,92.14285714285714,2020-04-26,90
60,2020-04-27,64,95.85714285714286,2020-04-27,64
61,2020-04-28,195,107.0,2020-04-28,195
62,2020-04-29,194,121.71428571428571,2020-04-29,194
63,2020-04-30,204,135.42857142857142,2020-04-30,204
64,2020-05-01,238,153.14285714285714,2020-05-01,238
65,2020-05-02,219,172.0,2020-05-02,219
66,2020-05-03,170,183.42857142857142,2020-05-03,170
67,2020-05-04,245,209.28571428571428,2020-05-04,245
68,2020-05-05,148,202.57142857142858,2020-05-05,148
69,2020-05-06,195,202.71428571428572,2020-05-06,195
70,2020-05-07,381,228.0,2020-05-07,381
71,2020-05-08,386,249.14285714285714,2020-05-08,386
72,2020-05-09,238,251.85714285714286,2020-05-09,238
73,2020-05-10,249,263.14285714285717,2020-05-10,249
74,2020-05-11,242,262.7142857142857,2020-05-11,242
75,2020-05-12,146,262.42857142857144,2020-05-12,146
76,2020-05-13,182,260.57142857142856,2020-05-13,182
77,2020-05-14,189,233.14285714285714,2020-05-14,189
78,2020-05-15,288,219.14285714285714,2020-05-15,288
79,2020-05-16,176,210.28571428571428,2020-05-16,176
80,2020-05-17,338,223.0,2020-05-17,338
81,2020-05-18,216,219.28571428571428,2020-05-18,216
82,2020-05-19,226,230.71428571428572,2020-05-19,226
